Ort;Plz;Bundesland;lat;lng;km
Algesbüttel;38551;Niedersachsen;52,433224;10,5100193;128
Algishofen;73453;Baden-Württemberg;48,912656;9,9809642;516
Alheim;36211;Hessen;51,0211246;9,6580277;283
Alikendorf;39398;Sachsen-Anhalt;51,9924719;11,3192817;193
Alken;56332;Rheinland-Pfalz;50,2482825;7,4480148;408
Alkersleben;99310;Thüringen;50,8100961;10,9640913;311
Alkersum;25938;Schlewig-Holstein;54,7182229;8,5031023;164
Allenbach;55758;Rheinland-Pfalz;49,8124005;7,2552807;458
Allendorf;7426;Thüringen;50,6589809;11,1152726;330
Allendorf;35108;Hessen;51,0357167;8,6728806;295
Allendorf;35469;Hessen;50,6833234;8,8268403;330
Allendorf;56370;Rheinland-Pfalz;50,2958457;7,9175351;390
Allenfeld;55595;Rheinland-Pfalz;49,8638457;7,7317592;440
Allensbach;78476;Baden-Württemberg;47,7147032;9,0691908;653
Alleringersleben;39343;Sachsen-Anhalt;52,2248602;11,3045259;170
Allersberg;90584;Bayern;49,2357134;11,2342036;487
Allersdorf;98701;Thüringen;50,5921286;11,0464115;336
Allershausen;85391;Bayern;48,4303016;11,5985457;580
Alleshausen;88422;Baden-Württemberg;48,0618455;9,6079482;611
Alling;82239;Bayern;48,1408124;11,2995637;608
Allmannshofen;86695;Bayern;48,5949897;10,8326799;554
Allmannsweiler;88348;Baden-Württemberg;48,0240962;9,519015;616
Allmendingen;89604;Baden-Württemberg;48,3407147;9,6904379;580
Allmenhausen;99713;Thüringen;51,2862655;10,7338206;256
Allmersbach;71573;Baden-Württemberg;48,9067838;9,470412;518
Allmosen;1983;Brandenburg;51,5879761;14,0109679;345
Allrode;6507;Sachsen-Anhalt;51,165691;10,451526;267
Allstedt;6542;Sachsen-Anhalt;51,404673;11,3857674;255
Almdorf;25821;Schlewig-Holstein;54,6195112;8,9657724;138
Almersbach;57610;Rheinland-Pfalz;50,6824377;7,6625802;358
Almosmühle;93449;Bayern;49,3783242;12,7058119;499
Almstedt;31079;Niedersachsen;52,0411275;9,9131892;168
Alpen;46519;Nordrhein-Westfalen;51,5996924;6,4805701;324
Alpenrod;57642;Rheinland-Pfalz;50,6312626;7,870066;357
Alperstedt;99195;Thüringen;51,0923739;11,0992242;283
Alpirsbach;72275;Baden-Württemberg;48,363598;8,3824109;588
Alsau;53547;Rheinland-Pfalz;50,5651574;7,3805962;379
Alsbach;56237;Rheinland-Pfalz;50,4968605;7,7105584;375
Alsbach-Hähnlein;64665;Hessen;49,7365976;8,585234;436
Alsdorf;52477;Nordrhein-Westfalen;50,86482;6,1756589;398
Alsdorf;54668;Rheinland-Pfalz;49,872102;6,4190616;479
Alsdorf;57518;Rheinland-Pfalz;50,7727981;7,8736846;343
Alsenz;67821;Rheinland-Pfalz;49,7294826;7,8171526;452
Alsfeld;36304;Hessen;50,7477097;9,275865;316
Alsheim;67577;Rheinland-Pfalz;49,7656578;8,3402474;437
Alsleben;6425;Sachsen-Anhalt;51,6994757;11,6705847;233
Alt Bennebek;24848;Schlewig-Holstein;54,4005228;9,4997989;101
Alt Bork;14822;Brandenburg;52,2003735;12,7926843;238
Alt Brieselang;14656;Brandenburg;52,5827083;12,9581702;222
Alt Bukow;18233;Mecklenburg-Vorpommern;54,0177085;11,6980532;120
Alt Duvenstedt;24791;Schlewig-Holstein;54,3577968;9,642612;94
Alt Golm;15526;Brandenburg;52,2623621;14,0359392;303
Alt Jabel;19303;Mecklenburg-Vorpommern;53,2337068;11,1799693;83
Alt Karin;18236;Mecklenburg-Vorpommern;54,0631588;11,7968001;128
Alt Kätwin;18299;Mecklenburg-Vorpommern;53,9080728;12,3444359;156
Alt Krenzlin;19288;Mecklenburg-Vorpommern;53,3371308;11,4679788;97
Alt Krüssow;16928;Brandenburg;53,1344696;12,1805598;149
Alt Lanschvitz;18581;Mecklenburg-Vorpommern;54,3502808;13,4767608;241
Alt Lutterow;16837;Brandenburg;53,1612953;12,7519943;185
Alt Madlitz;15518;Brandenburg;52,3864736;14,19504;306
Alt Mahlisch;15306;Brandenburg;52,494295;14,3604171;311
Alt Meteln;19069;Mecklenburg-Vorpommern;53,722374;11,4178274;92
Alt Mölln;23881;Schlewig-Holstein;53,6030608;10,6116549;38
Alt Necheln;19412;Mecklenburg-Vorpommern;53,7100925;11,6897425;110
Alt Poorstorf;23992;Mecklenburg-Vorpommern;53,8647019;11,6869943;113
Alt Rehse;17217;Mecklenburg-Vorpommern;53,523504;13,0511066;198
Alt Ruppin;16827;Brandenburg;52,9843657;12,8708203;198
Alt Schönau;17192;Mecklenburg-Vorpommern;53,5145891;12,7304761;177
